winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.645876791537,?,1,61.1310944366,2.0,2.0,?,5,1.0,3.0,1,71.0,19.0,1
0.543700372872,0.664659243729,?,65.3913383919,1.0,-1.0,2,3,2.0,3.0,0,58.0,53.0,1
0.415205135337,0.472524343433,0,66.8762092383,1.0,3.0,3,5,2.0,1.0,0,17.0,54.0,0
0.740131676713,0.49402989702,1,82.0855093122,0.0,2.0,5,3,2.0,3.0,0,41.0,43.0,0
0.702899480167,0.425761617203,-1,65.9039676682,0.0,3.0,4,5,2.0,4.0,1,49.0,56.0,0
0.712956787184,0.3408615984,-1,71.5718008324,1.0,3.0,3,2,3.0,5.0,1,26.0,57.0,0
0.498324482265,?,0,56.7976065291,0.0,1.0,5,3,2.0,1.0,0,?,47.0,0
0.810310041208,0.375600183976,1,74.9634318866,3.0,1.0,5,3,3.0,1.0,?,51.0,47.0,1
0.32697747985,0.543994769399,0,64.7584675392,2.0,0.0,1,2,3.0,3.0,0,30.0,20.0,1
0.73379436572,0.242712344003,1,61.6191325524,4.0,2.0,?,3,2.0,0.0,1,63.0,48.0,0
0.563164811092,0.838944719331,1,54.4839905572,2.0,1.0,1,3,3.0,2.0,1,75.0,48.0,1
0.617303073573,0.642488911933,-1,63.2501472299,2.0,3.0,4,5,3.0,3.0,0,29.0,76.0,0
0.380194641323,0.56594329352,0,72.608612775,1.0,2.0,3,4,2.0,2.0,1,32.0,58.0,0
0.490530646142,0.846651946097,1,69.118180949,1.0,2.0,3,2,1.0,4.0,0,42.0,40.0,0
0.677622692338,0.453605636499,0,70.8322085014,0.0,2.0,4,5,2.0,3.0,1,71.0,21.0,1
0.290482366147,0.800353581781,0,61.8298792912,3.0,2.0,4,4,1.0,2.0,0,68.0,83.0,1
0.178755434956,?,0,58.7215043154,2.0,2.0,3,2,3.0,?,1,86.0,?,1
0.565474815907,0.681086030211,1,62.5829777247,3.0,3.0,1,5,0.0,3.0,1,27.0,33.0,1
0.296839147104,?,1,62.1911948621,2.0,?,1,3,2.0,2.0,1,5.0,64.0,1
0.532362542753,0.88288667436,1,62.2319596777,0.0,0.0,5,3,2.0,2.0,1,47.0,32.0,1
0.321845787739,0.261062524812,1,74.4462849723,3.0,1.0,?,5,2.0,3.0,1,32.0,71.0,1
0.884012212122,?,1,56.9249151456,2.0,1.0,4,2,1.0,2.0,0,33.0,64.0,0
