?,0.8350405909,0,61.9285891321,0,0,1,4,4,3,0,46,47,1
0.6315251635,0.6959494811,0,57.7814365153,2,2,1,4,3,3,1,87,38,1
0.4630937615,0.7584858546,-1,?,2,2,1,?,3,2,0,39,55,1
0.7199566212,0.3280319103,-1,55.9828201863,1,2,4,2,1,2,1,64,48,0
0.3354599112,0.3723602546,0,78.1332309587,3,3,3,3,3,2,1,48,33,1
0.2437910634,0.4609689414,0,63.7922326888,2,1,1,5,3,3,1,49,10,1
0.4755286173,0.3864117732,0,67.4833377623,2,2,4,5,4,2,0,70,52,1
0.7688553259,0.6322484947,1,79.2584009014,1,1,5,5,1,?,0,43,41,1
-0.0082830123,0.5664731165,0,69.8513380729,3,2,5,?,2,3,0,49,38,1
0.6030710272,0.8170825476,0,50.2352199007,1,1,3,3,1,3,1,32,40,1
?,0.3141886674,0,70.835776837,2,3,1,2,1,2,0,47,59,1
0.5773160814,0.7598293368,?,55.1651117354,2,2,2,5,4,5,1,56,64,1
0.5357229238,0.2784217834,-1,60.6113259332,3,2,4,4,2,4,0,?,40,1
0.6110378605,0.5164710114,-1,67.6066874747,1,2,3,5,3,1,0,23,52,0
0.6131079533,0.5348576447,1,69.4901452159,2,?,2,4,5,2,1,39,73,?
0.6730964202,?,1,80.90258147,2,4,?,5,4,4,1,71,47,0
0.7052480559,0.7918321547,0,65.0463539019,1,2,5,3,2,3,0,55,42,0
0.6422710516,?,-1,56.7911238914,1,0,?,2,3,?,0,43,30,1
0.5190991562,0.376200026,1,60.2738227594,3,1,3,5,2,2,1,31,31,1
0.6129650534,?,0,79.3366605909,4,3,1,3,3,3,0,73,26,1
0.410345784,0.2313892206,-1,66.3675575472,0,0,1,1,3,4,0,?,4,1
0.3478343183,0.1105769213,1,56.9719496142,0,3,5,2,1,4,1,50,60,0
0.5310407753,0.6153716928,0,64.8148344898,2,-1,5,1,2,1,1,55,76,1
0.4501091346,0.7572289779,0,71.9581958995,2,1,4,3,3,2,1,63,51,1
0.713909169,0.3868630385,1,66.9044949745,1,3,2,4,3,2,0,?,24,1
0.3608538135,0.7181956293,1,59.1004941785,1,2,3,2,3,3,1,40,52,0
0.5716394338,0.4119446562,0,64.1784121115,1,2,1,3,3,3,1,54,66,0
0.2598638404,0.3984974636,0,67.7878246739,1,1,4,3,2,2,1,49,7,1
0.4350345945,0.3480130151,1,77.7560813615,2,2,1,4,2,2,0,55,38,1
0.8035977241,0.4548381594,0,58.2810700045,2,2,4,?,1,2,1,66,65,1
0.2389273964,0.6214025109,1,68.7146415834,2,1,1,2,1,1,0,25,10,1
0.4940776537,0.6344333561,1,66.7229501776,-1,3,3,2,1,3,1,58,46,0
0.5908466471,0.7456816132,1,68.8006121574,2,1,5,2,2,3,0,66,?,1
0.505601492,0.5129105815,?,67.99337776,2,0,?,1,?,3,1,67,27,1
0.7578242474,0.4111968259,-1,66.5677234723,1,1,2,4,2,3,1,24,23,1
0.366007517,0.2900625102,-1,77.6033107703,0,1,1,3,4,1,0,64,50,0
0.4847426033,0.4816649507,1,59.2978147007,2,1,2,?,4,1,0,81,80,1
0.4172952899,0.1587354129,-1,?,1,0,5,5,2,3,1,57,24,0
0.3273042237,0.3575461702,-1,62.7079684434,?,3,2,4,1,2,1,69,?,1
0.7514168795,0.1501033007,0,77.6454459628,0,?,5,4,1,3,1,62,39,0
0.2372153742,0.551628157,1,51.5968713444,1,1,2,5,4,4,0,62,59,1
0.2195689252,?,1,66.7071579589,1,2,3,3,3,2,1,77,20,1
0.6003513016,0.0507335198,0,74.2671779444,2,3,3,4,3,2,1,53,51,1
0.5636370586,0.2155434228,0,74.2649559731,0,0,2,4,3,1,0,62,56,1
0.8652878264,0.5971726127,0,63.9148550314,1,1,4,5,5,4,0,63,30,1
0.7220306395,0.1720461025,1,71.7677498503,2,0,3,1,2,0,0,?,78,1
0.5987136977,0.5883948472,0,61.1912372376,2,2,2,1,3,4,0,91,17,1
?,0.5192313219,-1,62.262817643,1,2,1,2,4,2,1,66,49,0
0.6897371444,0.5659151382,1,58.1591583802,1,2,5,2,4,2,0,23,51,0
0.315024983,0.4469070437,-1,72.7016471138,0,1,?,1,2,4,0,62,85,0
0.5917013566,0.4871052185,1,72.6929581787,3,1,2,5,4,2,0,36,30,1
0.5267529701,0.1848798467,1,65.3902754104,1,4,1,4,3,2,0,9,84,0
?,0.7346602529,1,63.4984674517,0,1,4,4,3,2,1,50,36,0
0.493749779,0.1155902372,?,62.4987932369,1,0,?,1,5,4,0,-1,51,0
0.3947389612,0.2529034116,-1,72.5831517583,1,4,5,5,2,3,1,65,9,1
