winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.645876792,?,1,61.13109444,2,2,?,5,1,3,1,71,19,1
0.543700373,0.664659244,?,65.39133839,1,-1,2,3,2,3,0,58,53,1
0.415205135,0.472524343,0,66.87620924,1,3,3,5,2,1,0,17,54,0
0.740131677,0.494029897,1,82.08550931,0,2,5,3,2,3,0,41,43,0
0.70289948,0.425761617,-1,65.90396767,0,3,4,5,2,4,1,49,56,0
0.712956787,0.340861598,-1,71.57180083,1,3,3,2,3,5,1,26,57,0
0.498324482,?,0,56.79760653,0,1,5,3,2,1,0,?,47,0
0.810310041,0.375600184,1,74.96343189,3,1,5,3,3,1,?,51,47,1
0.32697748,0.543994769,0,64.75846754,2,0,1,2,3,3,0,30,20,1
0.733794366,0.242712344,1,61.61913255,4,2,?,3,2,0,1,63,48,0
0.563164811,0.838944719,1,54.48399056,2,1,1,3,3,2,1,75,48,1
0.617303074,0.642488912,-1,63.25014723,2,3,4,5,3,3,0,29,76,0
0.380194641,0.565943294,0,72.60861278,1,2,3,4,2,2,1,32,58,0
0.490530646,0.846651946,1,69.11818095,1,2,3,2,1,4,0,42,40,0
0.677622692,0.453605636,0,70.8322085,0,2,4,5,2,3,1,71,21,1
0.290482366,0.800353582,0,61.82987929,3,2,4,4,1,2,0,68,83,1
0.178755435,?,0,58.72150432,2,2,3,2,3,?,1,86,?,1
0.565474816,0.68108603,1,62.58297772,3,3,1,5,0,3,1,27,33,1
0.296839147,?,1,62.19119486,2,?,1,3,2,2,1,5,64,1
0.532362543,0.882886674,1,62.23195968,0,0,5,3,2,2,1,47,32,1
0.321845788,0.261062525,1,74.44628497,3,1,?,5,2,3,1,32,71,1
0.884012212,?,1,56.92491515,2,1,4,2,1,2,0,33,64,0
0.611767026,?,-1,65.06409196,?,3,3,1,2,2,1,29,28,0
0.698870723,0.577587232,-1,73.7453661,2,0,4,1,2,3,0,42,34,1
0.551395729,0.417287134,-1,60.27659398,3,1,2,4,2,3,1,48,47,1
0.560771189,0.583195598,0,68.49406613,3,4,?,1,3,3,1,32,62,0
0.597873005,0.333631979,0,64.04493233,2,?,?,5,2,2,1,53,50,1
0.711190716,0.47393416,0,63.43260443,0,1,3,2,3,4,1,?,42,0
0.388647802,0.061920854,1,51.51220723,1,3,3,4,1,3,0,56,44,0
0.50000689,?,1,68.79492562,2,1,5,3,3,0,0,72,43,1
0.469406287,0.280096907,0,64.90666671,?,1,3,3,4,4,0,?,9,1
0.387482473,0.57597901,0,67.34726818,1,3,1,1,3,2,1,43,72,0
?,0.648694639,1,73.76955255,1,1,1,5,1,?,1,47,71,1
0.661899761,0.181462023,-1,59.34738884,1,0,4,4,3,4,0,35,46,0
0.132482584,0.296881694,1,47.65547242,1,3,1,5,1,3,1,6,76,0
0.326859757,0.543801741,-1,59.7622565,2,1,4,2,4,1,0,54,103,1
0.683701567,0.111934091,0,56.23451188,?,0,1,3,2,2,0,19,61,0
0.261561969,0.557390618,-1,55.68957135,1,2,1,3,4,4,0,8,41,0
0.711226362,0.691679042,-1,?,0,1,?,3,2,4,1,?,43,0
0.434023165,0.220153134,-1,?,?,0,1,4,?,0,1,41,48,1
0.544633748,0.623400522,-1,?,1,-1,5,2,3,4,0,19,54,1
0.525758115,0.672109251,1,56.69207295,?,1,3,1,3,2,1,14,39,1
0.617984812,0.447642814,0,74.486763,2,2,3,4,?,3,0,90,79,1
0.498297343,0.573613835,?,?,3,0,2,3,3,3,0,70,34,1
0.683773537,0.290520674,?,51.77719278,1,1,3,4,2,?,0,?,87,0
0.197460539,0.71775107,1,67.9749452,2,2,4,3,1,3,1,?,48,1
0.251965977,0.397108391,0,81.88839456,1,1,?,1,2,3,0,53,10,1
0.284498166,0.326988359,1,58.42626683,3,3,?,1,?,3,1,74,57,1
?,-0.027876735,-1,61.8603317,1,0,2,1,2,1,0,?,34,1
0.590079294,0.423661897,0,65.81002165,0,0,4,?,2,1,1,116,43,1
0.672660319,0.455823115,0,67.83191063,3,1,?,4,1,4,1,64,43,1
0.423863312,0.706522041,-1,65.08047207,1,4,5,1,2,2,0,50,45,0
0.414498464,0.524967403,1,60.13775094,3,3,4,?,2,2,1,?,49,1
0.39981701,0.822609488,1,71.99503718,2,1,2,5,2,2,0,78,40,?
0.634650849,0.711824348,1,64.54899974,0,0,4,5,3,2,1,62,66,1
0.664639591,0.392359332,1,62.5181404,1,2,4,5,4,1,0,65,54,0
0.813642612,0.536611902,-1,70.89283035,1,2,?,2,?,2,0,9,83,0
0.206648574,0.655985704,-1,74.66874597,2,1,4,4,1,3,1,22,44,1
0.666273883,0.452083575,0,66.26066569,1,2,1,5,4,?,1,91,57,0
0.680083985,0.814680266,0,72.46330561,1,3,4,3,3,2,1,52,45,0
1.005928841,0.361561305,?,72.20221577,2,2,2,5,3,2,1,82,39,1
0.448821392,?,0,62.72338989,2,1,2,5,?,?,0,59,70,1
?,0.472947576,-1,52.01798292,1,2,1,1,3,3,1,75,70,0
0.439159555,?,1,68.09465007,-1,4,5,5,3,4,1,32,41,0
0.465865797,0.912031793,-1,64.42957937,3,1,3,1,1,2,1,57,64,1
0.356525753,0.896365908,1,60.70273936,1,2,3,2,2,1,1,73,33,1
?,0.282510408,0,74.99075782,1,2,2,4,1,2,?,66,35,?
0.662286547,0.589269,1,81.64289184,1,0,?,4,3,2,0,64,31,1
0.404882478,0.453535084,-1,69.76738607,2,0,1,1,2,?,0,7,10,1
0.207984925,0.476922653,0,74.26170307,2,2,4,4,3,4,0,45,47,1
0.780717823,0.405554434,-1,58.64467933,3,1,1,4,4,1,1,71,46,1
0.692199287,0.328084292,1,75.09424763,3,3,1,?,1,1,1,80,42,1
0.625229323,0.457184804,0,67.01515974,1,2,1,3,2,3,1,39,56,0
0.401288562,0.407151251,-1,72.68878816,1,1,2,5,4,3,0,68,58,1
0.69742813,0.495391689,0,62.74921921,2,3,3,4,3,3,0,42,16,0
0.522293916,0.647518127,-1,?,2,2,5,5,2,3,1,58,24,1
0.371949642,0.782861019,-1,62.58082007,2,1,5,2,2,0,1,60,68,1
0.572596939,0.56640863,0,69.24515733,1,3,3,4,0,4,0,66,70,0
0.465623384,0.494932381,1,60.68498483,2,1,1,5,4,3,0,62,75,1
0.382524886,0.318525132,-1,75.85844671,1,2,5,1,1,2,1,62,?,0
0.810102719,0.617050533,-1,63.87283969,2,-1,3,2,3,3,1,17,39,1
0.272865034,0.7146318,-1,49.60530405,1,2,5,2,1,2,1,44,50,0
0.337462029,0.819755525,-1,80.24321433,2,2,2,3,4,3,1,45,64,1
0.513545511,0.672416851,0,75.2381757,2,1,1,4,3,2,1,62,70,1
0.820238784,0.391066002,1,61.93217736,1,?,4,5,3,3,0,43,54,0
0.357882201,0.622313087,1,64.06950872,0,1,4,5,2,2,1,26,?,0
0.793618608,0.477399894,0,53.77056157,3,3,4,2,3,1,1,28,57,0
0.475168726,0.925348789,1,62.58845719,2,1,4,2,2,4,0,89,80,1
0.327688626,0.379502693,1,74.23669351,3,1,2,2,4,1,1,56,?,1
0.618049025,0.730819504,1,63.63858705,2,2,5,5,2,1,1,44,63,1
